"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"كَتَبَ"|"ك ت ب"|"كَتَبَ"|"ك ت ب"|"I"|"49"|"to write, to prescribe, to ordain"|"schrijven, schrijven, bepalen"|"yazmak, reçete yazmak, buyurmak"|"NL"|"TR"
"كَاتِبُ"|"ك ت ب"|"كَاتِبُ"|"ك ت ب"|"III"|"1"|"to give writing"|"aan het schrijven te geven"|"yazmaya vermek"|"NL"|"TR"
"ٱكْتَتَبَ"|"ك ت ب"|"ٱكْتَتَبَ"|"ك ت ب"|"VIII"|"1"|"to write"|"schrijven"|"yazmak"|"NL"|"TR"
"كَتَمَ"|"ك ت م"|"كَتَمَ"|"ك ت م"|"I"|"21"|"to conceal, to hide"|"verbergen, verbergen"|"gizlemek, gizlemek"|"NL"|"TR"
"كَثُرَ"|"ك ث ر"|"كَثُرَ"|"ك ث ر"|"I"|"2"|"to be many, to be numerous"|"veel zijn, talrijk zijn"|"Birçok olmak, Çok sayıda olmak"|"NL"|"TR"
"كَثَّرَ"|"ك ث ر"|"كَثَّرَ"|"ك ث ر"|"II"|"1"|"to increase"|"verhogen"|"artırmak"|"NL"|"TR"
"أَكْثَرُ"|"ك ث ر"|"أَكْثَرُ"|"ك ث ر"|"IV"|"2"|"to be many, to be frequent"|"veel zijn, frequent zijn"|"Birçok olmak, sık olmak"|"NL"|"TR"
"ٱسْتَكْثَرْ"|"ك ث ر"|"ٱسْتَكْثَرْ"|"ك ث ر"|"X"|"3"|"to multiply, to acquire more"|"vermenigvuldigen, meer verwerven"|"çoğalmak, Daha fazla kazanmak"|"NL"|"TR"
"ٱنكَدَرَتْ"|"ك د ر"|"ٱنكَدَرَتْ"|"ك د ر"|"VII"|"1"|"to fall and lose luster"|"vallen en glans verliezen"|"düşmek ve parlaklığını kaybetmek"|"NL"|"TR"
"أَكْدَىٰٓ"|"ك د ي"|"أَكْدَىٰٓ"|"ك د ي"|"IV"|"1"|"to withhold"|"achterhouden"|"vermemek"|"NL"|"TR"
"كَذَبَ"|"ك ذ ب"|"كَذَبَ"|"ك ذ ب"|"I"|"11"|"to deny, to lie"|"ontkennen, liegen"|"reddetmek, Yalan söylemek"|"NL"|"TR"
"كَذَّبَ"|"ك ذ ب"|"كَذَّبَ"|"ك ذ ب"|"II"|"176"|"to deny, to reject"|"ontkennen, verwerpen"|"reddetmek, reddetmek"|"NL"|"TR"
"كَرَّمْ"|"ك ر م"|"كَرَّمْ"|"ك ر م"|"II"|"2"|"to honor"|"eren"|"onurlandırmak"|"NL"|"TR"
"أَكْرَمَ"|"ك ر م"|"أَكْرَمَ"|"ك ر م"|"IV"|"4"|"to honor, to make comfortable, to be generous"|"eren, comfortabel maken, gul zijn"|"onurlandırmak, konforlu hale getirmek, cömert olmak"|"NL"|"TR"
"كَرِهَ"|"ك ر ه"|"كَرِهَ"|"ك ر ه"|"I"|"17"|"to dislike, to hate"|"afkeer hebben, haten"|"sevmemek, nefret etmek"|"NL"|"TR"
"كَرَّهَ"|"ك ر ه"|"كَرَّهَ"|"ك ر ه"|"II"|"1"|"to make hateful"|"hatelijk maken"|"nefret yapmak"|"NL"|"TR"
"أُكْرِهَ"|"ك ر ه"|"أُكْرِهَ"|"ك ر ه"|"IV"|"5"|"to compel, to force"|"dwingen, dwingen"|"mecbur etmek, zorlamak"|"NL"|"TR"
"كَسَبَ"|"ك س ب"|"كَسَبَ"|"ك س ب"|"I"|"62"|"to earn"|"verdienen"|"kazanmak"|"NL"|"TR"
"ٱكْتَسَبَ"|"ك س ب"|"ٱكْتَسَبَ"|"ك س ب"|"VIII"|"5"|"to earn"|"verdienen"|"kazanmak"|"NL"|"TR"
"كَسَوْ"|"ك س و"|"كَسَوْ"|"ك س و"|"I"|"3"|"to clothe, to cover"|"kleden, dekken"|"giydirmek, kaplamak"|"NL"|"TR"
"كُشِطَتْ"|"ك ش ط"|"كُشِطَتْ"|"ك ش ط"|"I"|"1"|"to strip away"|"weghalen"|"kaldırmak"|"NL"|"TR"
"كَشَفَ"|"ك ش ف"|"كَشَفَ"|"ك ش ف"|"I"|"14"|"to remove, to uncover"|"verwijderen, ontdekken"|"kaldırmak, ortaya çıkarmak"|"NL"|"TR"
"كَفَرَ"|"ك ف ر"|"كَفَرَ"|"ك ف ر"|"I"|"289"|"to disbelieve"|"niet geloven"|"inanmamak"|"NL"|"TR"
"كَفَّرَ"|"ك ف ر"|"كَفَّرَ"|"ك ف ر"|"II"|"14"|"to remove"|"verwijderen"|"kaldırmak"|"NL"|"TR"
"أَكْفَرَ"|"ك ف ر"|"أَكْفَرَ"|"ك ف ر"|"IV"|"1"|"to be ungrateful, to deny"|"ondankbaar zijn, ontkennen"|"nankör olmak, reddetmek"|"NL"|"TR"
"كَفَّ"|"ك ف ف"|"كَفَّ"|"ك ف ف"|"I"|"8"|"to restrain, to withhold, to avert"|"beperken, achterhouden, voorkomen"|"dizginlemek, vermemek, önlemek"|"NL"|"TR"
"يَكْفُلُ"|"ك ف ل"|"يَكْفُلُ"|"ك ف ل"|"I"|"3"|"to take charge, to nurse, to rear"|"de leiding nemen, verzorgen, grootbrengen"|"sorumluluğu üstlenmek, bakmak beslemek, büyütmek"|"NL"|"TR"
"كَفَّلَ"|"ك ف ل"|"كَفَّلَ"|"ك ف ل"|"II"|"1"|"to put in care"|"in de zorg zetten"|"bakıma koymak"|"NL"|"TR"
"أَكْفِلْ"|"ك ف ل"|"أَكْفِلْ"|"ك ف ل"|"IV"|"1"|"to entrust"|"toe te vertrouwen"|"emanet etmek"|"NL"|"TR"
"كَفَىٰ"|"ك ف ي"|"كَفَىٰ"|"ك ف ي"|"I"|"32"|"to be sufficient"|"voldoende zijn"|"yeterli olmak"|"NL"|"TR"
"يَكْلَؤُ"|"ك ل ا"|"يَكْلَؤُ"|"ك ل ا"|"I"|"1"|"to protect"|"beschermen"|"korumak"|"NL"|"TR"
"يُكَلِّفُ"|"ك ل ف"|"يُكَلِّفُ"|"ك ل ف"|"II"|"7"|"to burden"|"belasten"|"sırtına yüklemek"|"NL"|"TR"
"كَلَّمَ"|"ك ل م"|"كَلَّمَ"|"ك ل م"|"II"|"20"|"to speak"|"spreken"|"konuşmak"|"NL"|"TR"
"يَتَكَلَّمُ"|"ك ل م"|"يَتَكَلَّمُ"|"ك ل م"|"V"|"4"|"to speak"|"spreken"|"konuşmak"|"NL"|"TR"
"أَكْمَلْ"|"ك م ل"|"أَكْمَلْ"|"ك م ل"|"IV"|"2"|"to perfect, to complete"|"perfectioneren, voltooien"|"mükemmelleştirmek, Tamamlamak"|"NL"|"TR"
"كَنَزْ"|"ك ن ز"|"كَنَزْ"|"ك ن ز"|"I"|"3"|"to hoard"|"hamsteren"|"stoklamak"|"NL"|"TR"
"أَكْنَن"|"ك ن ن"|"أَكْنَن"|"ك ن ن"|"IV"|"3"|"to conceal"|"verbergen"|"gizlemek"|"NL"|"TR"
"كَادَ"|"ك و د"|"كَادَ"|"ك و د"|"I"|"24"|"to be near, to nearly do, to almost do"|"in de buurt te zijn, tot bijna doen, tot bijna doen"|"yakın olmak, Neredeyse yapılacak, Neredeyse yapılacak"|"NL"|"TR"
"كُوِّرَتْ"|"ك و ر"|"كُوِّرَتْ"|"ك و ر"|"II"|"3"|"to wrap"|"wikkelen"|"sarmak"|"NL"|"TR"
"كَانَ"|"ك و ن"|"كَانَ"|"ك و ن"|"I"|"1358"|"to be"|"zijn"|"olmak"|"NL"|"TR"
"تُكْوَىٰ"|"ك و ي"|"تُكْوَىٰ"|"ك و ي"|"I"|"1"|"to brand"|"brandmerken"|"damgalamak"|"NL"|"TR"
"كِيدُ"|"ك ي د"|"كِيدُ"|"ك ي د"|"I"|"8"|"to scheme, to plot, to plan"|"beramen, plotten, plannen"|"dolap çevirmek, çizmek, plan yapmak"|"NL"|"TR"
"كَالُ"|"ك ي ل"|"كَالُ"|"ك ي ل"|"I"|"2"|"to measure"|"meten"|"ölçmek"|"NL"|"TR"
"ٱكْتَالُ"|"ك ي ل"|"ٱكْتَالُ"|"ك ي ل"|"VIII"|"2"|"to measure"|"meten"|"ölçmek"|"NL"|"TR"
"ٱسْتَكَانُ"|"ك ي ن"|"ٱسْتَكَانُ"|"ك ي ن"|"X"|"2"|"to give in, to submit"|"opgeven, dienen"|"vermek, sunmak"|"NL"|"TR"
"لَبِثَ"|"ل ب ث"|"لَبِثَ"|"ل ب ث"|"I"|"30"|"to remain, to stay, to hesitate, to delay"|"blijven, blijven, aarzelen, uitstellen"|"kalmak, kalmak, tereddüt etmek, geciktirmek"|"NL"|"TR"
"لَبَسْ"|"ل ب س"|"لَبَسْ"|"ل ب س"|"I"|"11"|"to obscure, to confuse, to mix, to wear"|"verduisteren, verwarren, mengen, dragen"|"gizlemek, şaşırtmak, karıştırmak, giymek"|"NL"|"TR"
"لَّجُّ"|"ل ج ج"|"لَّجُّ"|"ل ج ج"|"I"|"2"|"to persist"|"aanhouden"|"devam etmek"|"NL"|"TR"
"يُلْحِدُ"|"ل ح د"|"يُلْحِدُ"|"ل ح د"|"IV"|"3"|"to deviate, to distort"|"afwijken, vervormen"|"sapmak, çarpıtmak"|"NL"|"TR"
"يَلْحَقُ"|"ل ح ق"|"يَلْحَقُ"|"ل ح ق"|"I"|"2"|"to join"|"meedoen"|"katılmak"|"NL"|"TR"
"أَلْحَقْ"|"ل ح ق"|"أَلْحَقْ"|"ل ح ق"|"IV"|"4"|"to join"|"meedoen"|"katılmak"|"NL"|"TR"
"تَلَذُّ"|"ل ذ ذ"|"تَلَذُّ"|"ل ذ ذ"|"I"|"1"|"to delight"|"verrukken"|"sevindirmek"|"NL"|"TR"
"أَلْزَمَ"|"ل ز م"|"أَلْزَمَ"|"ل ز م"|"IV"|"3"|"to compel, to make adhere"|"dwingen, maken zich te houden"|"mecbur etmek, uymayı sağlamak"|"NL"|"TR"
"يَتَلَطَّفْ"|"ل ط ف"|"يَتَلَطَّفْ"|"ل ط ف"|"V"|"1"|"to be cautious"|"voorzichtig zijn"|"dikkatli olmak"|"NL"|"TR"
"تَلَظَّىٰ"|"ل ظ ي"|"تَلَظَّىٰ"|"ل ظ ي"|"I"|"1"|"to blaze"|"opvlammen"|"alev alev yanmak"|"NL"|"TR"
"يَلْعَبْ"|"ل ع ب"|"يَلْعَبْ"|"ل ع ب"|"I"|"9"|"to play"|"spelen"|"oynamak"|"NL"|"TR"
"لَعَنَ"|"ل ع ن"|"لَعَنَ"|"ل ع ن"|"I"|"23"|"to curse"|"vervloeken"|"lanet etmek"|"NL"|"TR"
"ٱلْغَ"|"ل غ و"|"ٱلْغَ"|"ل غ و"|"I"|"1"|"to make noise"|"lawaai maken"|"gürültü yapmak"|"NL"|"TR"
"تَلْفِتَ"|"ل ف ت"|"تَلْفِتَ"|"ل ف ت"|"I"|"1"|"to turn away"|"afwenden"|"geri çevirmek"|"NL"|"TR"
"يَلْتَفِتْ"|"ل ف ت"|"يَلْتَفِتْ"|"ل ف ت"|"VIII"|"2"|"to look back"|"terug kijken"|"geriye bakmak"|"NL"|"TR"
"تَلْفَحُ"|"ل ف ح"|"تَلْفَحُ"|"ل ف ح"|"I"|"1"|"to burn"|"branden"|"yanmak"|"NL"|"TR"
"يَلْفِظُ"|"ل ف ظ"|"يَلْفِظُ"|"ل ف ظ"|"I"|"1"|"to utter"|"uiten"|"ifade etmek"|"NL"|"TR"
"ٱلْتَفَّتِ"|"ل ف ف"|"ٱلْتَفَّتِ"|"ل ف ف"|"VIII"|"1"|"to wind"|""|""|"NL"|"TR"
"أَلْفَ"|"ل ف و"|"أَلْفَ"|"ل ف و"|"IV"|"3"|"to find"|"vinden"|"bulmak"|"NL"|"TR"
"ٱلْتَقَطَ"|"ل ق ط"|"ٱلْتَقَطَ"|"ل ق ط"|"VIII"|"2"|"to pick"|"ophalen"|"almak"|"NL"|"TR"
"تَلْقَفُ"|"ل ق ف"|"تَلْقَفُ"|"ل ق ف"|"I"|"3"|"to swallow"|"slikken"|"yutmak"|"NL"|"TR"
"ٱلْتَقَمَ"|"ل ق م"|"ٱلْتَقَمَ"|"ل ق م"|"VIII"|"1"|"to swallow"|"slikken"|"yutmak"|"NL"|"TR"
"لَقُ"|"ل ق ي"|"لَقُ"|"ل ق ي"|"I"|"14"|"to receive, to meet"|"ontvangen, ontmoeten"|"almak, tanışmak"|"NL"|"TR"
"لَقَّىٰ"|"ل ق ي"|"لَقَّىٰ"|"ل ق ي"|"II"|"6"|"to grant, to receive"|"verlenen, ontvangen"|"vermek, almak"|"NL"|"TR"
"يُلَٰقُ"|"ل ق ي"|"يُلَٰقُ"|"ل ق ي"|"III"|"3"|"to they meet"|"om ze voldoen"|"Onlar karşılamak için"|"NL"|"TR"
"أَلْقَىٰٓ"|"ل ق ي"|"أَلْقَىٰٓ"|"ل ق ي"|"IV"|"71"|"to cast, to throw, to meet, to offer"|"werpen, gooien, ontmoeten, bieden"|"atmak, atmak, tanışmak, sunmak"|"NL"|"TR"
"تَلَقَّىٰٓ"|"ل ق ي"|"تَلَقَّىٰٓ"|"ل ق ي"|"V"|"4"|"to cast, to throw, to offer"|"werpen, gooien, bieden"|"atmak, atmak, sunmak"|"NL"|"TR"
"ٱلْتَقَى"|"ل ق ي"|"ٱلْتَقَى"|"ل ق ي"|"VIII"|"7"|"to meet"|"ontmoeten"|"karşılamak"|"NL"|"TR"
"يَلْمِزُ"|"ل م ز"|"يَلْمِزُ"|"ل م ز"|"I"|"3"|"to criticize, to insult"|"bekritiseren, beledigen"|"eleştirmek, hakaret etmek"|"NL"|"TR"
"لَمَسُ"|"ل م س"|"لَمَسُ"|"ل م س"|"I"|"4"|"to touch, to have contact"|"aanraken, contact hebben"|"dokunmak, temas etmek"|"NL"|"TR"
"ٱلْتَمِسُ"|"ل م س"|"ٱلْتَمِسُ"|"ل م س"|"VIII"|"1"|"to seek"|"zoeken"|"aramak"|"NL"|"TR"
"لُمَّ"|"ل م م"|"لُمَّ"|"ل م م"|"I"|"2"|"to bring forward, to come"|"naar voren te brengen, komen"|"öne getirmek, gelmek"|"NL"|"TR"
"يَلْهَثْ"|"ل ه ث"|"يَلْهَثْ"|"ل ه ث"|"I"|"2"|"to loll the tongue"|"tong uitsteken"|"dili çıkarmak"|"NL"|"TR"
"أَلْهَمَ"|"ل ه م"|"أَلْهَمَ"|"ل ه م"|"IV"|"1"|"to inspire"|"inspireren"|"ilham vermek"|"NL"|"TR"
"تَلَهَّىٰ"|"ل ه و"|"تَلَهَّىٰ"|"ل ه و"|"I"|"1"|"to distract, to divert"|"afleiden, uitwijken"|"dikkatini dağıtmak, bir yöne çevirmek"|"NL"|"TR"
"أَلْهَىٰ"|"ل ه و"|"أَلْهَىٰ"|"ل ه و"|"IV"|"4"|"to distract, to divert"|"afleiden, uitwijken"|"dikkatini dağıtmak, bir yöne çevirmek"|"NL"|"TR"
"لَاتَ"|"ل و ت"|"لَاتَ"|"ل و ت"|"I"|"1"|"to not be"|"om niet"|"olmamak"|"NL"|"TR"
"لُمْ"|"ل و م"|"لُمْ"|"ل و م"|"I"|"3"|"to blame"|"beschuldigen"|"suçlamak"|"NL"|"TR"
"يَتَلَٰوَمُ"|"ل و م"|"يَتَلَٰوَمُ"|"ل و م"|"VI"|"1"|"to blame"|"beschuldigen"|"suçlamak"|"NL"|"TR"
"يَلْ"|"ل و ي"|"يَلْ"|"ل و ي"|"I"|"3"|"to distort"|"vervormen"|"çarpıtmak"|"NL"|"TR"
"لَوَّ"|"ل و ي"|"لَوَّ"|"ل و ي"|"II"|"1"|"to turn aside"|"zich afwenden"|"sapmak"|"NL"|"TR"
"يَلِتْ"|"ل ي ت"|"يَلِتْ"|"ل ي ت"|"I"|"1"|"to deprive"|"ontnemen"|"mahrum etmek"|"NL"|"TR"
"لَّيْسَ"|"ل ي س"|"لَّيْسَ"|"ل ي س"|"I"|"89"|"to not be"|"om niet"|"olmamak"|"NL"|"TR"
"لِن"|"ل ي ن"|"لِن"|"ل ي ن"|"I"|"2"|"to deal gently, to relax"|"om voorzichtig te gaan, ontspannen"|"yavaşça uğraşmak, rahatlamak"|"NL"|"TR"
"أَلَ"|"ل ي ن"|"أَلَ"|"ل ي ن"|"IV"|"1"|"to make pliable"|"om plooibaar te maken"|"esnek hale getirmek"|"NL"|"TR"
"مَّتَّعْ"|"م ت ع"|"مَّتَّعْ"|"م ت ع"|"II"|"18"|"to grant, to bestow, to provide"|"toekennen, schenken, voorzien"|"vermek, ihsan etmek, sağlamak"|"NL"|"TR"
"تَمَتَّعَ"|"م ت ع"|"تَمَتَّعَ"|"م ت ع"|"V"|"11"|"to enjoy"|"genieten"|"zevk almak"|"NL"|"TR"
"ٱسْتَمْتَعَ"|"م ت ع"|"ٱسْتَمْتَعَ"|"م ت ع"|"X"|"6"|"to profit, to benifit, to enjoy"|"winst maken, baten, genieten"|"kar etmek, yararlanmak, yararlanmak"|"NL"|"TR"
"تَمَثَّلَ"|"م ث ل"|"تَمَثَّلَ"|"م ث ل"|"V"|"1"|"to assume a likeness"|"een gelijkenis nemen"|"Bir benzerini varsaymak"|"NL"|"TR"
"يُمَحِّصَ"|"م ح ص"|"يُمَحِّصَ"|"م ح ص"|"II"|"2"|"to purify, to purge"|"zuiveren, zuiveren"|"arındırmak, arındırmak"|"NL"|"TR"
"يَمْحَقُ"|"م ح ق"|"يَمْحَقُ"|"م ح ق"|"I"|"2"|"to destroy"|"vernietigen"|"yok etmek"|"NL"|"TR"
"ٱمْتَحَنَ"|"م ح ن"|"ٱمْتَحَنَ"|"م ح ن"|"VIII"|"2"|"to test, to examine"|"testen, onderzoeken"|"test, incelemek"|"NL"|"TR"
"مَحَوْ"|"م ح و"|"مَحَوْ"|"م ح و"|"I"|"3"|"to eliminate, to erase"|"opheffen, wissen"|"ortadan kaldırmak, silmek"|"NL"|"TR"
"مَدَّ"|"م د د"|"مَدَّ"|"م د د"|"I"|"13"|"to spread, to extend, to prolong"|"verspreiden, verlengen, verlengen"|"yaymak, uzatmak, uzatmak"|"NL"|"TR"
"أَمَدَّ"|"م د د"|"أَمَدَّ"|"م د د"|"IV"|"10"|"to reinforce, to extend, to provide, to aid"|"versterken, uitbreiden, aanbieden, helpen"|"güçlendirmek, uzatmak, sağlamak, yardım etmek"|"NL"|"TR"
"مَرَجَ"|"م ر ج"|"مَرَجَ"|"م ر ج"|"I"|"2"|"to release"|"loslaten"|"serbest bırakmak"|"NL"|"TR"
"تَمْرَحُ"|"م ر ح"|"تَمْرَحُ"|"م ر ح"|"I"|"1"|"to be insolent"|"brutaal zijn"|"saygısız olmak"|"NL"|"TR"
"مَرَدُ"|"م ر د"|"مَرَدُ"|"م ر د"|"I"|"1"|"to persist"|"aanhouden"|"devam etmek"|"NL"|"TR"
"مَرَّ"|"م ر ر"|"مَرَّ"|"م ر ر"|"I"|"10"|"to pass, to continue"|"doorgeven, doorgaan"|"geçmek, devam etmek "|"NL"|"TR"
"مَرِضْ"|"م ر ض"|"مَرِضْ"|"م ر ض"|"I"|"1"|"to be ill"|"ziek zijn"|"hasta olmak"|"NL"|"TR"
"تَمَارَ"|"م ر ي"|"تَمَارَ"|"م ر ي"|"I"|"4"|"to dispute, to doubt"|"betwisten, twijfelen"|"tartışmak, şüphe etmek"|"NL"|"TR"
"تُمَارِ"|"م ر ي"|"تُمَارِ"|"م ر ي"|"III"|"1"|"to argue"|"argumenteren"|"tartışmak"|"NL"|"TR"
"يَمْتَرُ"|"م ر ي"|"يَمْتَرُ"|"م ر ي"|"VIII"|"5"|"to dispute, to doubt"|"betwisten, twijfelen"|"tartışmak, şüphe etmek"|"NL"|"TR"
"مُزِّقْ"|"م ز ق"|"مُزِّقْ"|"م ز ق"|"II"|"2"|"to disintegrate, to disperse"|"desintegreren, dispergeren"|"çözülmek, dağıtmak"|"NL"|"TR"
"ٱمْسَحُ"|"م س ح"|"ٱمْسَحُ"|"م س ح"|"I"|"3"|"to wipe"|"te vegen"|"silmek"|"NL"|"TR"
"مَسَخْ"|"م س خ"|"مَسَخْ"|"م س خ"|"I"|"1"|"to transform"|"transformeren"|"dönüştürmek"|"NL"|"TR"
"مَسَّ"|"م س س"|"مَسَّ"|"م س س"|"I"|"56"|"to touch"|"aanraken"|"dokunmak"|"NL"|"TR"
"يَتَمَآسَّ"|"م س س"|"يَتَمَآسَّ"|"م س س"|"VI"|"2"|"to touch"|"aanraken"|"dokunmak"|"NL"|"TR"
"يُمَسِّكُ"|"م س ك"|"يُمَسِّكُ"|"م س ك"|"II"|"1"|"to hold fast"|"vasthouden"|"sıkıca tutmak"|"NL"|"TR"
"أَمْسَكَ"|"م س ك"|"أَمْسَكَ"|"م س ك"|"IV"|"18"|"to retain, to withhold"|"behouden, achterhouden"|"tutmak, vermemek"|"NL"|"TR"
"ٱسْتَمْسَكَ"|"م س ك"|"ٱسْتَمْسَكَ"|"م س ك"|"X"|"3"|"to grasp, to hold fast"|"begrijpen, vasthouden"|"kavramak, sıkıca tutmak"|"NL"|"TR"
"تُمْسُ"|"م س و"|"تُمْسُ"|"م س و"|"IV"|"1"|"to reach evening"|"tot 's avonds bereiken"|"akşama ulaşmak"|"NL"|"TR"
"مَّشَ"|"م ش ي"|"مَّشَ"|"م ش ي"|"I"|"21"|"to walk"|"lopen"|"yürümek"|"NL"|"TR"
"مَضَىٰ"|"م ض ي"|"مَضَىٰ"|"م ض ي"|"I"|"4"|"to go on, to continue, to pass"|"doorgaan, doorgaan, passeren"|"devam etmek, devam etmek, geçmek"|"NL"|"TR"
"أُمْطِرَتْ"|"م ط ر"|"أُمْطِرَتْ"|"م ط ر"|"IV"|"7"|"to shower, to send rain"|"douchen, om regen te sturen"|"duş almak, yağmur göndermek"|"NL"|"TR"
"يَتَمَطَّىٰٓ"|"م ط و"|"يَتَمَطَّىٰٓ"|"م ط و"|"V"|"1"|"to swagger"|"pochen"|"hava atmak"|"NL"|"TR"
"مَكَثَ"|"م ك ث"|"مَكَثَ"|"م ك ث"|"I"|"4"|"to stay, to remain"|"blijven, blijven"|"kalmak, kalmak"|"NL"|"TR"
"مَكَرَ"|"م ك ر"|"مَكَرَ"|"م ك ر"|"I"|"22"|"to plot, to scheme, to plan"|"plotten, beramen, plannen"|"çizmek, dolap çevirmek, plan yapmak"|"NL"|"TR"
"مَكَّ"|"م ك ن"|"مَكَّ"|"م ك ن"|"II"|"13"|"to establish"|"bewerkstelligen"|"kurmak"|"NL"|"TR"
"أَمْكَنَ"|"م ك ن"|"أَمْكَنَ"|"م ك ن"|"IV"|"1"|"to give power"|"de macht geven"|"güç vermek"|"NL"|"TR"
"مُلِئَتْ"|"م ل ا"|"مُلِئَتْ"|"م ل ا"|"I"|"6"|"to fill"|"vullen"|"doldurmak"|"NL"|"TR"
"ٱمْتَلَأْ"|"م ل ا"|"ٱمْتَلَأْ"|"م ل ا"|"VIII"|"1"|"to fill"|"vullen"|"doldurmak"|"NL"|"TR"
"مَلَكَتْ"|"م ل ك"|"مَلَكَتْ"|"م ل ك"|"I"|"44"|"to possess, to have power"|"bezitten, macht hebben"|"sahip olmak, güce sahip olmak"|"NL"|"TR"
"يُمِلَّ"|"م ل ل"|"يُمِلَّ"|"م ل ل"|"IV"|"3"|"to dictate"|"dicteren"|"dikte etmek"|"NL"|"TR"
"أَمْلَىٰ"|"م ل و"|"أَمْلَىٰ"|"م ل و"|"IV"|"9"|"to give respite"|"respijt geven"|"mühlet vermek"|"NL"|"TR"
"مَّنَعَ"|"م ن ع"|"مَّنَعَ"|"م ن ع"|"I"|"12"|"to prevent"|"voorkomen"|"önlemek"|"NL"|"TR"
"مَنَّ"|"م ن ن"|"مَنَّ"|"م ن ن"|"I"|"16"|"to favor"|"de voorkeur geven"|"kayırmak"|"NL"|"TR"
"تَمَنَّىٰٓ"|"م ن ي"|"تَمَنَّىٰٓ"|"م ن ي"|"I"|"3"|"to wish"|"wensen"|"dilemek"|"NL"|"TR"
"يُمَنِّي"|"م ن ي"|"يُمَنِّي"|"م ن ي"|"II"|"2"|"to arouse desire"|"verlangen wekken"|"arzu uyandırmak"|"NL"|"TR"
"يُمْنَىٰ"|"م ن ي"|"يُمْنَىٰ"|"م ن ي"|"IV"|"3"|"to emit"|"uitstoten"|"yaymak"|"NL"|"TR"
"يَتَمَنَّ"|"م ن ي"|"يَتَمَنَّ"|"م ن ي"|"V"|"6"|"to wish"|"wensen"|"dilemek"|"NL"|"TR"
"يَمْهَدُ"|"م ه د"|"يَمْهَدُ"|"م ه د"|"I"|"1"|"to prepare"|"voorbereiden"|"hazırlanmak"|"NL"|"TR"
"مَهَّد"|"م ه د"|"مَهَّد"|"م ه د"|"II"|"1"|"to spread"|"spreiden"|"yaymak"|"NL"|"TR"
"مَهِّلِ"|"م ه ل"|"مَهِّلِ"|"م ه ل"|"II"|"2"|"to give respite"|"respijt geven"|"mühlet vermek"|"NL"|"TR"
"أَمْهِلْ"|"م ه ل"|"أَمْهِلْ"|"م ه ل"|"IV"|"1"|"to give respite"|"respijt geven"|"mühlet vermek"|"NL"|"TR"
"مَّاتَ"|"م و ت"|"مَّاتَ"|"م و ت"|"I"|"39"|"to die"|"sterven"|"ölmek"|"NL"|"TR"
"أَمَاتَ"|"م و ت"|"أَمَاتَ"|"م و ت"|"IV"|"21"|"to cause death"|"de dood veroorzaken"|"ölüme neden olmak"|"NL"|"TR"
"يَمُوجُ"|"م و ج"|"يَمُوجُ"|"م و ج"|"I"|"1"|"to surge"|"woelen"|"dalgalanmak"|"NL"|"TR"
"تَمُورُ"|"م و ر"|"تَمُورُ"|"م و ر"|"I"|"2"|"to shake, to sway"|"schudden, zwaaien"|"sallamak, sallanmak"|"NL"|"TR"
"تَمِيدَ"|"م ي د"|"تَمِيدَ"|"م ي د"|"I"|"3"|"to shake"|"schudden"|"sallamak"|"NL"|"TR"
"نَمِيرُ"|"م ي ر"|"نَمِيرُ"|"م ي ر"|"I"|"1"|"to get provision"|"voorzorgsmaatregel krijgen"|"önlem almak"|"NL"|"TR"
"يَمِيزَ"|"م ي ز"|"يَمِيزَ"|"م ي ز"|"I"|"2"|"to sepearte, to distinguish, to stand apart"|", onderscheid maken, uit elkaar staan"|", ayırmak, ayrı durmak"|"NL"|"TR"
"تَمَيَّزُ"|"م ي ز"|"تَمَيَّزُ"|"م ي ز"|"V"|"1"|"to burst"|"barsten"|"patlamak"|"NL"|"TR"
"ٱمْتَٰزُ"|"م ي ز"|"ٱمْتَٰزُ"|"م ي ز"|"VIII"|"1"|"to stand apart"|"uit elkaar staan"|"ayrı durmak"|"NL"|"TR"
"يَمِيلُ"|"م ي ل"|"يَمِيلُ"|"م ي ل"|"I"|"3"|"to deviate, to assult, to incline"|"afwijken, aanvallen, neigen"|"sapmak, saldırmak, meyletmek"|"NL"|"TR"
"نَـَٔا"|"ن ا ي"|"نَـَٔا"|"ن ا ي"|"I"|"3"|"to distance, to become remote, to keep away"|"achter zich laten, op afstand te worden, weghouden"|"uzakta tutmak, Uzak olmak, uzak tutmak"|"NL"|"TR"
"نَبَّأَ"|"ن ب ا"|"نَبَّأَ"|"ن ب ا"|"II"|"46"|"to inform"|"informeren"|"bilgilendirmek"|"NL"|"TR"
"أَنۢبَأَ"|"ن ب ا"|"أَنۢبَأَ"|"ن ب ا"|"IV"|"4"|"to inform"|"informeren"|"bilgilendirmek"|"NL"|"TR"
"يَسْتَنۢبِـُٔ"|"ن ب ا"|"يَسْتَنۢبِـُٔ"|"ن ب ا"|"X"|"1"|"to ask to inform"|"vragen om te informeren"|"bilgilendirmek istemek"|"NL"|"TR"
